Domain Code,Domain,Recipient Country Code (M49),Recipient Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","10109","Blended And Mix","1988","1988","tonnes","6435","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","10109","Blended And Mix","1989","1989","tonnes","1449","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","10109","Blended And Mix","1990","1990","tonnes","1247","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","10109","Blended And Mix","1991","1991","tonnes","1016","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","10109","Blended And Mix","1992","1992","tonnes","5806","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","10109","Blended And Mix","1993","1993","tonnes","1137","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","10109","Blended And Mix","1994","1994","tonnes","595","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","10109","Blended And Mix","1998","1998","tonnes","153","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","10109","Blended And Mix","1999","1999","tonnes","498","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","10109","Blended And Mix","2000","2000","tonnes","522","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","10109","Blended And Mix","2001","2001","tonnes","449","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","10109","Blended And Mix","2002","2002","tonnes","601","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","10109","Blended And Mix","2003","2003","tonnes","706","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","10109","Blended And Mix","2005","2005","tonnes","1906","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","10109","Blended And Mix","2006","2006","tonnes","7682","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","10109","Blended And Mix","2007","2007","tonnes","989","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","10109","Blended And Mix","2008","2008","tonnes","43764","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","10109","Blended And Mix","2009","2009","tonnes","32407","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","10109","Blended And Mix","2010","2010","tonnes","20941","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","10109","Blended And Mix","2011","2011","tonnes","23270","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","10109","Blended And Mix","2012","2012","tonnes","15960","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","10109","Blended And Mix","2013","2013","tonnes","9837","X","Figure from international organizations","Provisional data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","10109","Blended And Mix","2014","2014","tonnes","7761","X","Figure from international organizations","Provisional data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","10109","Blended And Mix","2015","2015","tonnes","4596","X","Figure from international organizations","Provisional data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","10021","Bulgur Wheat Total","1992","1992","tonnes","1500","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","10021","Bulgur Wheat Total","1993","1993","tonnes","1100","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","10021","Bulgur Wheat Total","1994","1994","tonnes","3484","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","11938","Butter Oil Total","1988","1988","tonnes","15","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","11938","Butter Oil Total","1989","1989","tonnes","1878","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","11938","Butter Oil Total","1992","1992","tonnes","433","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","12061","Cereals","1988","1988","tonnes","116414","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","12061","Cereals","1989","1989","tonnes","78434","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","12061","Cereals","1990","1990","tonnes","75795","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","12061","Cereals","1991","1991","tonnes","65731","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","12061","Cereals","1992","1992","tonnes","302669","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","12061","Cereals","1993","1993","tonnes","196731","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","12061","Cereals","1994","1994","tonnes","34270","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","12061","Cereals","1995","1995","tonnes","23662","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","12061","Cereals","1996","1996","tonnes","17598","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","12061","Cereals","1997","1997","tonnes","5009","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","12061","Cereals","1998","1998","tonnes","29206","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","12061","Cereals","1999","1999","tonnes","35793","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","12061","Cereals","2000","2000","tonnes","37116","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","12061","Cereals","2001","2001","tonnes","6868","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","12061","Cereals","2002","2002","tonnes","26645","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","12061","Cereals","2003","2003","tonnes","29112","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","12061","Cereals","2004","2004","tonnes","47574","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","12061","Cereals","2005","2005","tonnes","44592","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","12061","Cereals","2006","2006","tonnes","145580","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","12061","Cereals","2007","2007","tonnes","90881","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","12061","Cereals","2008","2008","tonnes","336143","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","12061","Cereals","2009","2009","tonnes","195044","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","12061","Cereals","2010","2010","tonnes","67426","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","12061","Cereals","2011","2011","tonnes","145433","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","12061","Cereals","2012","2012","tonnes","171654","X","Figure from international organizations","Data provided by WFP"
"FA","Food Aid Shipments (WFP)","706","Somalia","500","Food aid received","12061","Cereals","2013","2013","tonnes","56643","X","Figure from international organizations","Provisional data provided by WFP"
